Location_ID,Accident_Count,Average_Speed,Traffic_Density,Signal_Status
1,2,59,Medium,not working
2,6,58,medium,Working
3,5,37,Medium,not working
4,7,59,Medium,not working
5,8,20,Medium,Not Working
6,4,30,Medium,Working
7,0,47,High ,Not Working
8,18,76,medium,Working
9,9,44,Low,Not Working
10,11,69,Low,Working 
11,14,42,medium,not working
12,8,50,Low,Working
13,19,49,medium,Working
14,16,61,Low,not working
15,16,54,Medium,Working
16,19,26,Low,Working
17,11,79,medium,Not Working
18,6,35,medium,Working
19,1,45,medium,Working 
20,2,67,medium,Working 
21,16,76,medium,not working
22,4,71,High ,Working
23,16,79,High ,not working
24,16,68,Low,Working 
25,16,21,medium,Working
26,1,20,Low,Working
27,1,67,medium,not working
28,4,31,medium,Working 
29,0,24,High ,Working
30,0,56,High ,not working
31,18,51,Medium,Working 
32,1,78,High ,not working
33,11,74,Medium,Not Working
34,5,28,Medium,Working
35,3,60,Medium,Not Working
36,10,54,Medium,Working 
37,16,38,Medium,Not Working
38,5,67,Low,Not Working
39,4,35,High ,Working 
40,19,22,Medium,not working
41,1,39,medium,Not Working
42,5,43,High ,not working
43,10,73,High ,Not Working
44,15,75,Medium,not working
45,15,52,Low,Working 
46,0,43,Medium,Not Working
47,8,71,Low,Working 
48,5,30,medium,Not Working
49,15,68,High ,Working 
50,2,27,medium,Working 
51,19,55,Low,Not Working
52,3,57,Low,Not Working
53,18,59,medium,Not Working
54,2,39,Low,Working
55,18,54,medium,not working
56,19,67,High ,Working
57,6,44,medium,Working
58,19,54,High ,Working 
59,8,44,medium,Not Working
60,0,48,Low,not working
